headlines,date,type
"Trump's Space Force gets a new, recognizable logo",2020-01-24,topNewsHeadlines
"Jim Lehrer, Longtime PBS News Anchor, Is Dead at 85",2020-01-24,topNewsHeadlines
Trump rolls back US water pollution controls,2020-01-24,topNewsHeadlines
National debt increased by $3 trillion during Donald Trump's three years as president,2020-01-24,topNewsHeadlines
Coronavirus Confirmed In Chicago,2020-01-24,topNewsHeadlines
Joe Rogan,2020-01-24,topTrendingOnSm
Roger Federer,2020-01-24,topTrendingOnSm
#explosion,2020-01-24,topTrendingOnSm
#MarchForLife,2020-01-24,topTrendingOnSm
Marsha Blackburn,2020-01-24,topTrendingOnSm
Doomsday Clock,2020-01-24,topTrendingOnSm
Jim Lehrer,2020-01-24,topTrendingOnSm
Lakers vs Nets,2020-01-24,topTrendingOnSm
Dolly Parton Challenge,2020-01-24,topTrendingOnSm
The Turning,2020-01-24,topTrendingOnSm
Tiger Woods,2020-01-24,topTrendingOnSm
Annabella Sciorra,2020-01-24,topTrendingOnSm
"the moment this officer knew he had met the final boss. https://t.co/piiLtqjrUw<e2><80><94> i hate it here (@its_dryx) January 24, 2020After listening to the President<e2><80><99>s lawyers opening arguments, I have three observations:They don<e2><80><99>t contest the facts of Trump<e2><80><99>s scheme.They<e2><80><99>re trying to deflect, distract from, and distort the truth.And they are continuing to cover it up by blocking documents and witnesses.<e2><80><94> Adam Schiff (@RepAdamSchiff) ",2020-01-25,topTweets
"Democrat impeachment managers attempted to make their case over three long days. Today, @realDonaldTrump's legal team destroyed that case in two hours. You can't impeach a president on lies, half-truths and hearsay!<e2><80><94> Rep. Bradley Byrne (@RepByrne) ",2020-01-25,topTweets
"Pompeo berated, cursed at NPR reporter over Ukraine questions, she says",2020-01-25,topNewsHeadlines
34 U.S. service members diagnosed with brain injuries after Iran attack,2020-01-25,topNewsHeadlines
"Barstow, Calif., shaken by magnitude-4.6 earthquake: preliminary measure",2020-01-25,topNewsHeadlines
New CDC coronavirus report: 2nd case confirmed in the U.S.,2020-01-25,topNewsHeadlines
2020 March for Life time lapse video,2020-01-25,topNewsHeadlines
Trump Space Force logo looks like Star Trek Starfleet symbol,2020-01-25,topNewsHeadlines
49ers<e2><80><99> Cornerback Richard Sherman: <e2><80><98>I Doubt<e2><80><99> I<e2><80><99>ll Visit The White House If We Win The Super Bowl,2020-01-25,topNewsHeadlines
Giuliani: I can't sit by and watch my country be sold out by Joe Biden,2020-01-25,topNewsHeadlines
Listen to recording that appears to show Pres. Trump ordering removal of Ukraine ambassador,2020-01-25,topNewsHeadlines
Coronavirus Confirmed In Chicago; Woman In Her 60s Being Treated For Symptoms,2020-01-25,topNewsHeadlines
The Racist ICE Detention Center Captain Was Just Fired. We Found 132 More Posts by Him on a Neo-Nazi Site.,2020-01-25,topNewsHeadlines
Dolly Parton challenge,2020-01-25,topTrendingOnSm
What is coronavirus,2020-01-25,topTrendingOnSm
Coco Gauff,2020-01-25,topTrendingOnSm
Sabrina,2020-01-25,topTrendingOnSm
Serena Williams,2020-01-25,topTrendingOnSm
Roger Federer,2020-01-25,topTrendingOnSm
FA Cup,2020-01-25,topTrendingOnSm
Houston explosion,2020-01-25,topTrendingOnSm
Grey's Anatomy,2020-01-25,topTrendingOnSm
Kyrgios,2020-01-25,topTrendingOnSm
Senior Bowl,2020-01-25,topTrendingOnSm
Pelicans,2020-01-25,topTrendingOnSm
Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.<e2><80><94> Barack Obama (@BarackObama) ,2020-01-26,topTweets
There<e2><80><99>s no words to express the pain Im going through with this tragedy of loosing my neice Gigi & my brother @kobebryant I love u and u will be missed. My condolences goes out to the Bryant family and the families of the other passengers on board. IM SICK RIGHT NOW https://t.co/pigHywq3c1<e2><80><94> SHAQ (@SHAQ) ,2020-01-26,topTweets
RIP to Kobe and Gianna. What was once a meme is now a loving memory of a father and daughter.  https://t.co/gakXCH6AL4<e2><80><94> Brendan Walker (@BWalkerNFL) ,2020-01-26,topTweets
Kobe Bryant dead in California helicopter crash,2020-01-26,topNewsHeadlines
"Kobe Bryant<e2><80><99>s Daughter, 13, Also Dies in Helicopter Crash",2020-01-26,topNewsHeadlines
Puerto Rico hit by a 5.0 quake amid ongoing seismic activity,2020-01-26,topNewsHeadlines
Pompeo Says NPR's Kelly Lied To Him Twice But Doesn't Deny Lashing Out : NPR,2020-01-26,topNewsHeadlines
Veterans of Foreign Wars demands apology from Trump for downplaying brain injuries from Iranian attack,2020-01-26,topNewsHeadlines
Trump appears to show briefly on camera in Parnas recording,2020-01-26,topNewsHeadlines
"Sanders Seizes Lead in Volatile Iowa Race, Times Poll Finds",2020-01-26,topNewsHeadlines
Trump Legal Team Lays Out 6-Point Case Crushing Democrats<e2><80><99> Impeachment Claims,2020-01-26,topNewsHeadlines
"Trump legal team goes on offense in impeachment trial, accuse Democrats of 'massive' election interference",2020-01-26,topNewsHeadlines
Billboard urges public to rethink restricting abortion,2020-01-26,topNewsHeadlines
Tape Made Public of Trump Discussing Ukraine With Donors,2020-01-26,topNewsHeadlines
Adam Driver,2020-01-26,topTrendingOnSm
Paula White,2020-01-26,topTrendingOnSm
Kobe,2020-01-26,topTrendingOnSm
Green Day,2020-01-26,topTrendingOnSm
#GRAMMYs,2020-01-26,topTrendingOnSm
#WhiteMaleRage,2020-01-26,topTrendingOnSm
Born Sinner,2020-01-26,topTrendingOnSm
#NeverTrustAPersonWho,2020-01-26,topTrendingOnSm
#RoyalRumble,2020-01-26,topTrendingOnSm
#127Day,2020-01-26,topTrendingOnSm
#Bellator238,2020-01-26,topTrendingOnSm
3rd US,2020-01-26,topTrendingOnSm
"RIP to Kobe and Gianna. What was once a meme is now a loving memory of a father and daughter.  https://t.co/gakXCH6AL4<e2><80><94> Brendan Walker (@BWalkerNFL) January 26, 2020Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.<e2><80><94> Barack Obama (@BarackObama) January 26, 2020Dear Kobe,Thank You! https://t.co/dzTGmMdilz<e2><80><94> Coach Chris (@Coach_Chris1) January 26, 2020",2020-01-27,topTweets
"O.C. College Baseball Coach, His Daughter and Wife Among 9 Killed in Kobe Bryant Helicopter Crash",2020-01-27,topNewsHeadlines
Orange Coast College baseball coach John Altobelli dies in helicopter crash with Kobe Bryant,2020-01-27,topNewsHeadlines
"Plane crashes in Afghanistan, killing everyone on board, Afghan official says",2020-01-27,topNewsHeadlines
"In 5-4 ruling, Supreme Court allows Trump plan to deny green cards to those who may need gov't aid",2020-01-27,topNewsHeadlines
BTS Joined Lil Nas X for Their First Grammys Performance,2020-01-27,topNewsHeadlines
Auschwitz survivors: First Jews sent to the Nazi concentration camp were teenage girls,2020-01-27,topNewsHeadlines
Michelle Obama wins first Grammy for <e2><80><98>Becoming<e2><80><99> audiobook,2020-01-27,topNewsHeadlines
State Department drops NPR from Pompeo trip after Ukraine dust-up,2020-01-27,topNewsHeadlines
Pistons are introduced wearing jerseys to honor Kobe - ESPN Video,2020-01-27,topNewsHeadlines
Kansas City Chiefs are America<e2><80><99>s favorite team to win Super Bowl,2020-01-27,topNewsHeadlines
"75 Years After Auschwitz Liberation, Survivors Urge World To Remember",2020-01-27,topNewsHeadlines
Bolton,2020-01-27,topTrendingOnSm
#ILeftTheGOP,2020-01-27,topTrendingOnSm
#TheBachelor,2020-01-27,topTrendingOnSm
#iHeartBTS,2020-01-27,topTrendingOnSm
Pam Bondi,2020-01-27,topTrendingOnSm
#KobeandGianna,2020-01-27,topTrendingOnSm
#HolocaustRemembranceDay,2020-01-27,topTrendingOnSm
#GRAMMYs,2020-01-27,topTrendingOnSm
#KobeRIP,2020-01-27,topTrendingOnSm
Kenneth Starr,2020-01-27,topTrendingOnSm
Chris Wallace,2020-01-27,topTrendingOnSm
Jane Raskin,2020-01-27,topTrendingOnSm
When you get in the lift with tonight<e2><80><99>s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy<e2><80><94> James Corden (@JKCorden) ,2020-01-28,topTweets
"it's as if he sent this from above https://t.co/K4Ymc0hEzC<e2><80><94> An.derson (@TheReelAnderson) January 27, 2020This one damn near broke me https://t.co/hdAwOKBrWl<e2><80><94> Vincent Goodwill (@VinceGoodwill) ",2020-01-28,topTweets
Boosie Wants the NBA to replace the Logo With a Kobe Bryant Inspired Logo,2020-01-28,topNewsHeadlines
"Before fatal flight, Kobe and daughter attended church, took communion, minister says",2020-01-28,topNewsHeadlines
Auschwitz survivors: First Jews sent to the Nazi concentration camp were teenage girls,2020-01-28,topNewsHeadlines
"In 5-4 ruling, Supreme Court allows Trump plan to deny green cards to those who may need government aid",2020-01-28,topNewsHeadlines
U.S. military plane crashes in Taliban-held region of Afghanistan,2020-01-28,topNewsHeadlines
Tuesday marks 34 years since Space Shuttle Challenger tragedy,2020-01-28,topNewsHeadlines
"75 Years After Auschwitz Liberation, Survivors Urge World To Remember",2020-01-28,topNewsHeadlines
Willis Tower Spire Lit Purple and Gold in Kobe Bryant<e2><80><99>s Honor,2020-01-28,topNewsHeadlines
Trump Senate impeachment trial live updates: President's defense team makes case,2020-01-28,topNewsHeadlines
State Department drops NPR from Pompeo trip after Ukraine dust-up,2020-01-28,topNewsHeadlines
Michelle Obama wins Grammy for audio version of 'Becoming',2020-01-28,topNewsHeadlines
Federer,2020-01-28,topTrendingOnSm
Philip Rivers,2020-01-28,topTrendingOnSm
Chase Rice,2020-01-28,topTrendingOnSm
Tennys Sandgren,2020-01-28,topTrendingOnSm
#girldad,2020-01-28,topTrendingOnSm
Dow Jones,2020-01-28,topTrendingOnSm
Earthquake,2020-01-28,topTrendingOnSm
Bradley Cooper,2020-01-28,topTrendingOnSm
Dusty Baker,2020-01-28,topTrendingOnSm
#Jamaica,2020-01-28,topTrendingOnSm
Docs,2020-01-28,topTrendingOnSm
Reed Mullin,2020-01-28,topTrendingOnSm
"When you get in the lift with tonight<e2><80><99>s guests! @cbs 12.30 x https://t.co/x0WhmlJPdy<e2><80><94> James Corden (@JKCorden) January 28, 2020Vanessa Bryant speaks on the deaths of Kobe and Gianna""...it's impossible to imagine life without them. But we wake up each day, trying to keep pushing because Kobe, and our baby girl, Gigi, are shining on us to light the way."" https://t.co/gHdVJZ7AlS<e2><80><94> Bleacher Report (@BleacherReport) January 30, 2020What if they were phantom thieves#grammys https://t.co/Z7VvKMa0je<e2><80><94> picolo (@_gabrielpicolo) ",2020-01-29,topTweets
Kobe Bryant dead: Shaq in tears during TNT tribute,2020-01-29,topNewsHeadlines
Shaquille O'Neal Breaks Down In Tears On 'Inside The NBA' Talking About Kobe,2020-01-29,topNewsHeadlines
A Disturbing Number of People Think Coronavirus Is Related to Corona Beer,2020-01-29,topNewsHeadlines
"Today in History, January 28, 1986: Space shuttle Challenger exploded, killing all astronauts",2020-01-29,topNewsHeadlines
"Brie Bella and Nikki Bella Both Pregnant, Due Less Than 2 Weeks Apart",2020-01-29,topNewsHeadlines
Wallace: Trump's approval of Pompeo's 'abusive' treatment of reporter shows 'total rot' in White House,2020-01-29,topNewsHeadlines
Jamaica earthquake: Magnitude 7.7 tremor is felt as far away as Miami,2020-01-29,topNewsHeadlines
Photo Gallery: Remembering the Challenger crew who was killed 34 years ago,2020-01-29,topNewsHeadlines
Portion of US border wall in California falls over in high winds and lands on Mexican side,2020-01-29,topNewsHeadlines
McConnell tells Republican senators he does not yet have the votes yet to block witnesses,2020-01-29,topNewsHeadlines
Massive crowds form for Trump's New Jersey rally amid impeachment fight,2020-01-29,topNewsHeadlines
Chris Doleman,2020-01-29,topTrendingOnSm
Coach K,2020-01-29,topTrendingOnSm
#BTSxCorden,2020-01-29,topTrendingOnSm
#BellLetsTalk,2020-01-29,topTrendingOnSm
#AEWDynamite,2020-01-29,topTrendingOnSm
Bradley Cooper Grammy,2020-01-29,topTrendingOnSm
#RokuSurroundSound,2020-01-29,topTrendingOnSm
#coronaravirus,2020-01-29,topTrendingOnSm
Minnie,2020-01-29,topTrendingOnSm
Kraken,2020-01-29,topTrendingOnSm
World War Six,2020-01-29,topTrendingOnSm
#SBGCBUD,2020-01-29,topTrendingOnSm
Let me find out you<e2><80><98>re tryna be my fucking Valentine dude <f0><9f><98><82><e2><9d><a4><ef><b8><8f> https://t.co/dq6LqDTofg<e2><80><94> andres (@andrewsaboss) ,2020-01-30,topTweets
did you cheat on a fucking werewolf https://t.co/YPuYu8DmgY<e2><80><94> Jellicle JelliKiernan (@KiernanRobinson) ,2020-01-30,topTweets
"Vanessa Bryant speaks on the deaths of Kobe and Gianna""...it's impossible to imagine life without them. But we wake up each day, trying to keep pushing because Kobe, and our baby girl, Gigi, are shining on us to light the way."" https://t.co/gHdVJZ7AlS<e2><80><94> Bleacher Report (@BleacherReport) ",2020-01-30,topTweets
Portion of US border wall in California falls over in high winds and lands on Mexican side,2020-01-30,topNewsHeadlines
"Ellen DeGeneres surprises black teen told to cut dreadlocks with $20,000 scholarship",2020-01-30,topNewsHeadlines
"Vanessa Bryant breaks silence about Kobe, Gianna: 'Our love for them is endless'",2020-01-30,topNewsHeadlines
IndyCar driver John Andretti has died at 56 after cancer battle,2020-01-30,topNewsHeadlines
Trump administration announces Medicaid program funding overhaul,2020-01-30,topNewsHeadlines
Six suspects in $7 million drug bust released without bail under new state law,2020-01-30,topNewsHeadlines
Dershowitz: Trump pursuing quid pro quo to help re-election is not impeachable,2020-01-30,topNewsHeadlines
Did he really just light a joint in court?,2020-01-30,topNewsHeadlines
"Trump's first presidential portfolio lags job, stock market growth",2020-01-30,topNewsHeadlines
Joe Biden would consider asking Michelle Obama to be his VP,2020-01-30,topNewsHeadlines
World Health Organization declares coronavirus a public health emergency of international concern,2020-01-30,topNewsHeadlines
Rand Paul,2020-01-30,topTrendingOnSm
#SF93rdWin,2020-01-30,topTrendingOnSm
#TheGoodPlace,2020-01-30,topTrendingOnSm
Ciara and Russell,2020-01-30,topTrendingOnSm
Logo Lillard,2020-01-30,topTrendingOnSm
#OprahMeetYang,2020-01-30,topTrendingOnSm
Marcus Morris,2020-01-30,topTrendingOnSm
#AndThenSuddenly,2020-01-30,topTrendingOnSm
Wilbur Ross,2020-01-30,topTrendingOnSm
George Wallace,2020-01-30,topTrendingOnSm
#MinajInMiami,2020-01-30,topTrendingOnSm
Devin Booker,2020-01-30,topTrendingOnSm
Staples Center tonight <f0><9f><99><8f> https://t.co/PBQRQ8FzeG<e2><80><94> Bleacher Report (@BleacherReport) ,2020-01-31,topTweets
The House That Kobe Built https://t.co/1exfvaXnE8<e2><80><94> Los Angeles Lakers (@Lakers) ,2020-01-31,topTweets
"The 2020 NBA All-Star game will pay tribute to Kobe and Gianna Bryant <f0><9f><99><8f><f0><9f><92><9c> Team LeBron will wear No. 2 and Team Giannis will wear No. 24, their jersey numbers.<f0><9f><92><9b> Both teams will wear patches with 9 stars, representing those who lost their lives in the helicopter crash. https://t.co/mgOCPpqJ65<e2><80><94> SportsCenter (@SportsCenter) ",2020-01-31,topTweets
"Impeachment trial: The Senate rejects witnesses, clearing the way for acquittal",2020-01-31,topNewsHeadlines
"GOP Sen. Murkowski says she will vote against witnesses, calls impeachment articles 'rushed and flawed'",2020-01-31,topNewsHeadlines
"Lakers Giving Away 20,000 Kobe Bryant Shirts at Staples, Players To Wear Patch",2020-01-31,topNewsHeadlines
Impeachment Trial Livestream: Republicans Ready For Likely Acquittal : NPR,2020-01-31,topNewsHeadlines
Trump appears to mock Pelosi by handing out pens during USMCA signing,2020-01-31,topNewsHeadlines
Trump impeachment trial live updates,2020-01-31,topNewsHeadlines
"Trump Told Bolton to Help His Ukraine Pressure Campaign, Book Says",2020-01-31,topNewsHeadlines
"Anti-cop protesters vandalize NYC subways, jump turnstiles",2020-01-31,topNewsHeadlines
Former Ambassador to Ukraine Marie Yovanovitch retires from State Department,2020-01-31,topNewsHeadlines
"Goodbye, Europe. After years of Brexit turmoil, Britain finally leaves the E.U.",2020-01-31,topNewsHeadlines
Dem leaders signal they won<e2><80><99>t accept Trump acquittal as legitimate,2020-01-31,topNewsHeadlines
#ImpeachmentTrialSham,2020-01-31,topTrendingOnSm
#MissAmericanaWatchParty,2020-01-31,topTrendingOnSm
#SmackDown,2020-01-31,topTrendingOnSm
Ted Bundy,2020-01-31,topTrendingOnSm
#hotboysforbernie,2020-01-31,topTrendingOnSm
Diddy,2020-01-31,topTrendingOnSm
HAN IS ALIVE,2020-01-31,topTrendingOnSm
PETA,2020-01-31,topTrendingOnSm
Rubio,2020-01-31,topTrendingOnSm
Ticketmaster,2020-01-31,topTrendingOnSm
#GOPCowards,2020-01-31,topTrendingOnSm
#LifeAfterLockup,2020-01-31,topTrendingOnSm
1ST LAKERS GAME WITH MY BROTHER SUGA. MAMBA FOREVER https://t.co/GKztrVJRgW<e2><80><94> MAX (@MAXMusic) ,2020-02-01,topTweets
The Lakers' tribute to Kobe Bryant <f0><9f><92><9c><f0><9f><92><9b> https://t.co/jI0wwlSqhk<e2><80><94> ESPN (@espn) ,2020-02-01,topTweets
"Wiz Khalifa and Charlie Puth performed ""See You Again"" during halftime to honor Kobe <f0><9f><99><8f>(via @NBCSNorthwest)https://t.co/WSACrY1JUP<e2><80><94> Bleacher Report (@BleacherReport) ",2020-02-01,topTweets
Adriana Cohen: Trump Senate impeachment trial -- It's time to end the Schiff show,2020-02-01,topNewsHeadlines
"GOP Sen. Murkowski says she will vote against witnesses, calls impeachment articles 'rushed and flawed'",2020-02-01,topNewsHeadlines
Lakers Put Kobe Bryant And Gigi's Jerseys On Courtside Seats For Game,2020-02-01,topNewsHeadlines
Dem leaders signal they won<e2><80><99>t accept Trump acquittal as legitimate,2020-02-01,topNewsHeadlines
DNC members discuss rules change to stop Sanders at convention,2020-02-01,topNewsHeadlines
Former Ambassador to Ukraine Marie Yovanovitch retires from State Department,2020-02-01,topNewsHeadlines
"DeAndre Arnold: ""Hair Love"" producers Matthew A. Cherry, Gabrielle Union, Dwyane Wade invite teen to Oscars",2020-02-01,topNewsHeadlines
"Church shooting after funeral in Florida leaves at least 2 dead, including teen boy",2020-02-01,topNewsHeadlines
Voting to acquit this noxious criminal was the point of no return for the Republican Party,2020-02-01,topNewsHeadlines
"Bill Maher: Like Trump, Bernie Sanders has 'army' of supporters 'who will get in the streets'",2020-02-01,topNewsHeadlines
"Goodbye, Europe. After years of Brexit turmoil, Britain finally leaves the E.U.",2020-02-01,topNewsHeadlines
#NFLHonors,2020-02-01,topTrendingOnSm
Rashida,2020-02-01,topTrendingOnSm
Tlaib,2020-02-01,topTrendingOnSm
Happy Black History Month,2020-02-01,topTrendingOnSm
#JusticeForJohnnyDepp,2020-02-01,topTrendingOnSm
#BooHillary,2020-02-01,topTrendingOnSm
Josh Jacobs,2020-02-01,topTrendingOnSm
America's Greatest President,2020-02-01,topTrendingOnSm
Isaac Bruce,2020-02-01,topTrendingOnSm
Michael Moore,2020-02-01,topTrendingOnSm
Reece James,2020-02-01,topTrendingOnSm
Zach Thomas,2020-02-01,topTrendingOnSm
".@NFL my son just humped a hole into our sectional couch i hope ur happy<e2><80><94> Pete Blackburn (@PeteBlackburn) February 3, 2020Dubai displayed a tribute to Kobe and Gigi on the tallest building in the world <f0><9f><91><8f> https://t.co/YSLNd3to8y<e2><80><94> SportsCenter (@SportsCenter) ",2020-02-02,topTweets
"Nick Bosa hearing people singing in Spanish from the locker room at halftime https://t.co/ykCkgwhhMa<e2><80><94> The Immortal Kobe Bean (@MAMBAnDIESEL) February 3, 2020",2020-02-02,topTweets
Simon Moya-Smith: The Kansas City Chiefs in Super Bowl LIV will shine. So will their fans' racism.,2020-02-02,topNewsHeadlines
Today is 02/02/2020: First global Palindrome Day in 909 years,2020-02-02,topNewsHeadlines
"Church shooting after funeral in Florida leaves at least 2 dead, including teen boy",2020-02-02,topNewsHeadlines
"Trump administration reveals it's blocking dozens of emails about Ukraine aid freeze, including President's role",2020-02-02,topNewsHeadlines
02.02.2020 was the first palindrome of its kind in over 900 years,2020-02-02,topNewsHeadlines
Groundhog day 2020: Punxsutawney Phil predicts early spring,2020-02-02,topNewsHeadlines
Man in Arizona accused of being Al Qaeda leader by Iraq: feds,2020-02-02,topNewsHeadlines
Speak only English': Norfolk police treat posters as hate crime,2020-02-02,topNewsHeadlines
"Sunday, February 2, 2020, is a rare palindrome: 02/02/2020",2020-02-02,topNewsHeadlines
Sylvester Stallone Says Kobe Should Get Statue Next To Rocky In Philadelphia,2020-02-02,topNewsHeadlines
"<e2><80><98>She<e2><80><99>s About My Age,<e2><80><99> Reports Mom Watching Halftime Show",2020-02-02,topNewsHeadlines
#PuppyBowlXVI,2020-02-02,topTrendingOnSm
#SuperMinLA,2020-02-02,topTrendingOnSm
Mike Smith,2020-02-02,topTrendingOnSm
#GroundhogDay,2020-02-02,topTrendingOnSm
Feh Pass,2020-02-02,topTrendingOnSm
GOALIE FIGHT,2020-02-02,topTrendingOnSm
TJ Haws,2020-02-02,topTrendingOnSm
#PalindromeDay,2020-02-02,topTrendingOnSm
#MenAreNotVeryGoodAt,2020-02-02,topTrendingOnSm
Chiefs,2020-02-02,topTrendingOnSm
#EgoIsComing,2020-02-02,topTrendingOnSm
Mahomes,2020-02-02,topTrendingOnSm
"Disney presents: Hamilton. With The Original Broadway Cast. Filmed onstage at The Richard Rodgers Theatre.  In A Theater Near You.October 15, 2021.#Hamilfilm https://t.co/z4ohfWXzi3<e2><80><94> Lin-Manuel Miranda (@Lin_Manuel) ",2020-02-03,topTweets
Now wtf is G Eazy gone do with all that ass?? https://t.co/GcnQz9p2bN<e2><80><94> weirdo <f0><9f><a5><b4> (@lizokurrrr) ,2020-02-03,topTweets
"A coyote and a badger use a culvert as a wildlife crossing to pass under a busy California highway together. Coyotes and badgers are known to hunt together. <f0><9f><8e><a5>Peninsula Open Space Trust https://t.co/oS9BL5JOoK<e2><80><94> Russ McSpadden (@PeccaryNotPig) February 4, 2020",2020-02-03,topTweets
Beyonc<c3><a9> and Jay-Z stay seated during Super Bowl national anthem performance: report,2020-02-03,topNewsHeadlines
J.Lo & Shakira Share Hug Before Halftime Show: 'Let's Show the World',2020-02-03,topNewsHeadlines
Today was the first global palindrome day in 909 years. Another one won't happen for 101 years.,2020-02-03,topNewsHeadlines
Trump tweet congratulates Kansas after Chiefs Super Bowl win,2020-02-03,topNewsHeadlines
"Andy Reid Says He Will Definitely Visit The WH, Calling It <e2><80><98>Quite An Honor<e2><80><99>",2020-02-03,topNewsHeadlines
"Kansas City erupts in celebration, detected by National Weather Service radar",2020-02-03,topNewsHeadlines
Memorial to slain Navy SEAL Chris Kyle unveiled in Texas,2020-02-03,topNewsHeadlines
"President Trump points, mock-conducts band during anthem",2020-02-03,topNewsHeadlines
Rush Limbaugh announces he has 'advanced lung cancer',2020-02-03,topNewsHeadlines
Chiefs Kingdom Champions Parade set for Wednesday,2020-02-03,topNewsHeadlines
BTS' J-Hope Appears In 'Map of the Soul: 7' Comeback Trailer,2020-02-03,topNewsHeadlines
Rush Limbaugh,2020-02-03,topTrendingOnSm
#TheMaskedSinger,2020-02-03,topTrendingOnSm
#SuperBowl,2020-02-03,topTrendingOnSm
#HalftimeShow2020,2020-02-03,topTrendingOnSm
#TheBachelor,2020-02-03,topTrendingOnSm
G Eazy,2020-02-03,topTrendingOnSm
Gerald,2020-02-03,topTrendingOnSm
Weply,2020-02-03,topTrendingOnSm
Andy Reid,2020-02-03,topTrendingOnSm
#TrumpIsAnIdiot,2020-02-03,topTrendingOnSm
#CaucusForYang,2020-02-03,topTrendingOnSm
#IowaCaucuses,2020-02-03,topTrendingOnSm
A coyote and a badger use a culvert as a wildlife crossing to pass under a busy California highway together. Coyotes and badgers are known to hunt together. <f0><9f><8e><a5>Peninsula Open Space Trust https://t.co/oS9BL5JOoK<e2><80><94> Russ McSpadden (@PeccaryNotPig) ,2020-02-04,topTweets
"Not great optics here, folks:- Dems paid company literally called Shadow to create caucus app- Buttigieg campaign also paid Shadow, FEC records show- Caucus app fails- Buttigieg declares himself Iowa winner with no results<e2><80><94> Walker Bragman (@WalkerBragman) ",2020-02-04,topTweets
"Hey guys, was let go from my job today <f0><9f><98><9f>. If anyone has any leads, please let me know. I<e2><80><99>ve attached my resume. References upon request! https://t.co/B0NuWvP6Cl<e2><80><94> Tyler Dinucci (@TylerDinucci) ",2020-02-04,topTweets
Chiefs player celebrates Super Bowl win by paying adoption fees for shelter dogs,2020-02-04,topNewsHeadlines
Rush Limbaugh announces he has 'advanced lung cancer',2020-02-04,topNewsHeadlines
"Andy Reid Says He Will Definitely Visit The WH, Calling It <e2><80><98>Quite An Honor<e2><80><99>",2020-02-04,topNewsHeadlines
"President Trump points, mock-conducts band during anthem",2020-02-04,topNewsHeadlines
Shannen Doherty Reveals Stage 4 Cancer Diagnosis,2020-02-04,topNewsHeadlines
Schiff delivers his closing remarks in the Senate impeachment trial,2020-02-04,topNewsHeadlines
Greta Thunberg Nominated For 2020 Nobel Peace Prize,2020-02-04,topNewsHeadlines
App behind Iowa caucus chaos not vetted or properly tested: experts,2020-02-04,topNewsHeadlines
Dunkaroos Officially Being Relaunched This Summer,2020-02-04,topNewsHeadlines
Good Morning!,2020-02-04,topNewsHeadlines
"AOC announces she won't attend State of the Union, 'normalize Trump's lawless conduct'",2020-02-04,topNewsHeadlines
#IowaCaucuses,2020-02-04,topTrendingOnSm
Shannen Doherty,2020-02-04,topTrendingOnSm
#BoycottStateofUnion,2020-02-04,topTrendingOnSm
Beyonce,2020-02-04,topTrendingOnSm
Texas A&M,2020-02-04,topTrendingOnSm
Rush Limbaugh,2020-02-04,topTrendingOnSm
Tesla stock,2020-02-04,topTrendingOnSm
Rosa Parks,2020-02-04,topTrendingOnSm
McMillions,2020-02-04,topTrendingOnSm
#WorldCancerDay,2020-02-04,topTrendingOnSm
Mark Dantonio,2020-02-04,topTrendingOnSm
Michael Polansky,2020-02-04,topTrendingOnSm
Acquitted for life. https://t.co/HgqBXwpoWK<e2><80><94> Kevin McCarthy (@GOPLeader) ,2020-02-05,topTweets
"ESPN Sources: 4-team trade agreement: Houston: Robert Covington; Atlanta: Clint Capela and Nene; Minnesota: Malik Beasley, Juancho Hernangomez, Evan Turner, ATL 1st round pick via Nets; Denver: Gerald Green, Houston FRP.<e2><80><94> Adrian Wojnarowski (@wojespn) ",2020-02-05,topTweets
I will be making a public statement tomorrow at 12:00pm from the @WhiteHouse to discuss our Country<e2><80><99>s VICTORY on the Impeachment Hoax!<e2><80><94> Donald J. Trump (@realDonaldTrump) ,2020-02-05,topTweets
Pelosi Violates Protocol By Refusing To Announce Trump Properly at SOTU; Rips Up Speech,2020-02-05,topNewsHeadlines
Donald Trump Awards Rush Limbaugh the Presidential Medal of Freedom,2020-02-05,topNewsHeadlines
Kirk Douglas Dead at 103,2020-02-05,topNewsHeadlines
"Senate acquits Trump on abuse of power, obstruction of Congress charges",2020-02-05,topNewsHeadlines
Watch Pelosi rip up copy of Trump<e2><80><99>s State of the Union address,2020-02-05,topNewsHeadlines
Shots Fired: Mitt Romney Will Vote to Convict Trump,2020-02-05,topNewsHeadlines
President Trump Acquitted On 2 Counts As Historic Impeachment Trial Closes : NPR,2020-02-05,topNewsHeadlines
Coors Light will cover dog adoption fees across the country until Feb. 21,2020-02-05,topNewsHeadlines
WATCH: Democrats Refuse To Applaud Young Black Girl Who Receives Scholarship,2020-02-05,topNewsHeadlines
Trump impeachment: Sen. Doug Jones says he will vote to convict,2020-02-05,topNewsHeadlines
"Teachers get children to paint on horse instead of canvas for school activity, sparking huge controversy",2020-02-05,topNewsHeadlines
Derrick Rose,2020-02-05,topTrendingOnSm
